Date,Open,High,Low,Close,Volume
2018-01-02,"19,38","19,41","18,54","18,58","2747100,00"
2018-01-03,"18,52","18,66","18,22","18,34","1462300,00"
2018-01-04,"18,40","18,47","18,03","18,23","2526800,00"
2018-01-05,"18,33","18,40","17,86","18,06","1771000,00"
2018-01-08,"18,06","18,30","17,96","18,18","1321000,00"
2018-01-09,"18,16","18,24","17,34","17,45","3089100,00"
2018-01-10,"17,37","17,57","16,62","16,75","3971600,00"
2018-01-11,"16,91","17,21","16,67","17,01","1993700,00"
2018-01-12,"16,81","17,18","16,40","16,62","2978300,00"
2018-01-15,"16,86","16,96","16,42","16,84","1678000,00"
2018-01-16,"16,81","17,42","16,80","17,03","3233700,00"
2018-01-17,"16,93","17,24","16,68","17,08","1902200,00"
2018-01-18,"17,22","17,22","16,66","16,96","1674500,00"
2018-01-19,"16,99","17,57","16,87","17,31","2013700,00"
2018-01-22,"18,25","19,25","18,19","18,56","9205500,00"
2018-01-23,"18,53","18,73","18,00","18,06","1960700,00"
2018-01-24,"18,19","19,38","18,13","19,33","5144100,00"
2018-01-26,"19,68","20,05","19,20","20,03","4863900,00"
2018-01-29,"19,88","20,24","19,53","20,00","1737000,00"
2018-01-30,"19,97","20,09","19,39","19,78","2251500,00"
2018-01-31,"19,98","20,65","19,98","20,11","2840900,00"
2018-02-01,"20,32","20,60","20,01","20,17","2730500,00"
2018-02-02,"19,93","20,12","19,31","19,57","3403800,00"
2018-02-05,"19,71","20,08","19,44","19,57","2386500,00"
2018-02-06,"19,29","20,77","18,97","20,66","3009100,00"
2018-02-07,"20,66","21,75","20,38","20,83","3434900,00"
2018-02-08,"21,36","21,78","20,77","21,40","3780200,00"
2018-02-09,"21,82","22,52","20,04","20,89","7735500,00"
2018-02-14,"21,48","21,56","20,95","21,29","2134600,00"
2018-02-15,"21,51","21,75","21,07","21,20","1455900,00"
2018-02-16,"21,29","21,36","20,81","21,21","1449800,00"
2018-02-19,"21,08","21,47","20,86","21,18","680400,00"
2018-02-20,"21,66","22,80","21,62","22,63","5508200,00"
2018-02-21,"22,40","24,57","22,20","23,09","11696300,00"
2018-02-22,"24,12","24,13","23,24","23,63","4366600,00"
2018-02-23,"23,58","24,62","23,51","24,62","3453100,00"
2018-02-26,"24,83","25,22","24,11","24,19","2665000,00"
2018-02-27,"24,03","25,27","23,93","24,62","2815700,00"
2018-02-28,"24,86","24,89","23,94","24,50","4292200,00"
2018-03-01,"24,38","24,69","23,49","23,90","3054500,00"
2018-03-02,"23,64","24,44","23,03","24,44","1756200,00"
2018-03-05,"24,56","24,82","24,06","24,40","1713100,00"
2018-03-06,"24,67","24,74","23,91","24,13","2608300,00"
2018-03-07,"23,73","24,22","22,86","23,39","2550000,00"
2018-03-08,"23,52","23,59","21,90","22,97","3546900,00"
2018-03-09,"22,74","23,71","22,48","23,64","2667500,00"
2018-03-12,"23,75","24,63","23,75","24,60","1979000,00"
2018-03-13,"24,60","24,72","24,01","24,21","2669400,00"
2018-03-14,"24,27","24,27","22,37","22,55","5070700,00"
2018-03-15,"22,75","23,05","22,41","22,45","2503600,00"
2018-03-16,"22,48","22,75","22,06","22,06","2553600,00"
2018-03-19,"22,19","22,19","21,38","21,99","2215700,00"
2018-03-20,"22,10","22,31","21,74","21,90","2099600,00"
2018-03-21,"21,90","22,03","21,15","21,21","3519100,00"
2018-03-22,"21,21","21,75","20,73","21,12","3133700,00"
2018-03-23,"21,10","21,41","20,78","20,95","2699300,00"
2018-03-26,"21,06","22,50","21,06","22,50","1512400,00"
2018-03-27,"22,20","22,73","21,66","21,92","1442100,00"
2018-03-28,"21,65","21,65","20,52","20,88","2205700,00"
2018-03-29,"21,15","21,35","20,59","20,77","3172300,00"
2018-04-02,"20,86","20,92","20,16","20,70","3352500,00"
2018-04-03,"20,55","21,56","20,47","21,06","2337500,00"
2018-04-04,"20,54","21,38","20,52","21,38","1804800,00"
2018-04-05,"21,90","22,19","21,70","22,10","1721200,00"
2018-04-06,"22,05","22,30","19,68","20,08","7111200,00"
2018-04-09,"20,72","20,72","18,05","18,16","8209100,00"
2018-04-10,"18,59","18,94","17,95","18,81","4008100,00"
2018-04-11,"18,30","18,72","18,15","18,48","4159200,00"
2018-04-12,"18,99","19,42","18,60","19,07","4271800,00"
2018-04-13,"19,07","19,24","18,51","19,01","3992100,00"
2018-04-16,"18,92","19,08","18,16","18,32","2404800,00"
2018-04-17,"18,39","18,77","17,98","18,28","6342200,00"
2018-04-18,"18,38","19,11","18,35","18,54","3804200,00"
2018-04-19,"18,70","18,79","18,28","18,64","2812300,00"
2018-04-20,"18,96","18,99","17,80","17,87","4513400,00"
2018-04-23,"17,90","18,05","17,54","17,79","4126900,00"
2018-04-24,"17,86","18,26","17,53","17,55","3330100,00"
2018-04-25,"17,50","17,96","17,10","17,85","5001200,00"
2018-04-26,"18,08","18,30","17,85","18,27","2602500,00"
2018-04-27,"18,39","19,21","18,39","19,04","3576200,00"
2018-04-30,"19,20","19,52","18,81","18,86","2287800,00"
2018-05-02,"18,89","20,03","18,52","19,70","4080700,00"
2018-05-03,"19,73","20,43","19,38","19,38","4778400,00"
2018-05-04,"19,38","20,03","19,35","19,89","2234200,00"
2018-05-07,"19,63","19,86","18,03","18,07","4193800,00"
2018-05-08,"18,18","18,26","17,60","18,11","2682200,00"
2018-05-09,"18,21","18,64","17,91","18,44","2577000,00"
2018-05-10,"18,69","19,32","18,69","19,05","2831200,00"
2018-05-11,"19,09","19,28","18,33","18,69","3443700,00"
2018-05-14,"18,70","19,10","18,16","18,18","2214700,00"
2018-05-15,"18,19","18,79","17,85","18,60","1850400,00"
2018-05-16,"18,23","18,74","17,99","18,54","2424100,00"
2018-05-17,"19,10","19,49","18,56","18,78","3876800,00"
